03:17:52 | INFO     | analyze              | HIGH SIMILARITY: tochka_k_-_Приём_Феникса.m4a <-> гавнецо.m4a = 0.8679 (GREEN)
03:17:52 | INFO     | analyze              | HIGH SIMILARITY: tochka_k_-_Приём_Феникса.m4a <-> Тропы_не_врут,_ДМЦ,_Plotnik82_-_Мой_андеграунд - Copy.m4a = 0.8679 (GREEN)
03:17:52 | WARNING  | analyze              | EXACT pair: В_темноте - Copy.m4a <-> В_темноте.m4a (similarity forced to 1.0)
03:17:52 | DEBUG    | dashboard            | [JOB 60a7b9fe] Progress: 85% - Classifying... [20/28]
03:17:52 | WARNING  | analyze              | EXACT pair: гавнецо.m4a <-> Тропы_не_врут,_ДМЦ,_Plotnik82_-_Мой_андеграунд - Copy.m4a (similarity forced to 1.0)
03:17:52 | DEBUG    | dashboard            | [JOB 60a7b9fe] Progress: 95% - Classifying complete [28/28]
03:17:52 | DEBUG    | dashboard            | [JOB 60a7b9fe] Progress: 100% - Complete [1/1]
03:17:52 | INFO     | analyze              | Full rebuild done in 3.7s. Reports saved to D:\GitHub\AIMusicMasteringFactory\audio_similarity_check\output
03:17:52 | INFO     | dashboard            | [JOB 60a7b9fe] Completed successfully in 3.8s
03:17:52 | DEBUG    | dashboard            | GET /api/jobs/60a7b9fe/results
03:17:52 | INFO     | werkzeug             | 127.0.0.1 - - [24/Aug/2026 03:17:52] "GET /api/jobs/60a7b9fe/results HTTP/1.1" 200 -
03:18:05 | INFO     | dashboard            | Audio request: В_темноте - Copy.m4a
03:18:05 | DEBUG    | dashboard            | Serving audio: C:\Users\Vitali\Downloads\YandexMusic\В_темноте - Copy.m4a
03:18:05 | INFO     | werkzeug             | 127.0.0.1 - - [24/Aug/2026 03:18:05] "[36mGET /api/audio/В_темноте%20-%20Copy.m4a HTTP/1.1[0m" 304 -
03:18:06 | INFO     | werkzeug             | 127.0.0.1 - - [24/Aug/2026 03:18:06] "[36mGET /static/favicon.ico HTTP/1.1[0m" 304 -
03:18:10 | INFO     | dashboard            | Audio request: tochka_k_-_Приём_Феникса.m4a
03:18:10 | DEBUG    | dashboard            | Serving audio: C:\Users\Vitali\Downloads\YandexMusic\tochka_k_-_Приём_Феникса.m4a
03:18:10 | INFO     | werkzeug             | 127.0.0.1 - - [24/Aug/2026 03:18:10] "[36mGET /api/audio/tochka_k_-_Приём_Феникса.m4a HTTP/1.1[0m" 304 -
   | compare              | segment pair (4,1) fused_sim=0.6876
03:17:51 | DEBUG    | compare              | segment pair (4,2) fused_sim=0.6967
03:17:51 | DEBUG    | compare              | segment pair (4,3) fused_sim=0.6443
03:17:51 | DEBUG    | compare              | segment pair (4,4) fused_sim=0.7720
03:17:51 | INFO     | arrayops             | ArrayOps: CPU (NumPy)
03:17:51 | DEBUG    | compare              | segment pair (0,0) fused_sim=0.7162
03:17:51 | DEBUG    | compare              | segment pair (0,1) fused_sim=0.6757
03:17:51 | DEBUG    | compare              | segment pair (0,2) fused_sim=0.6898
03:17:51 | DEBUG    | compare              | segment pair (0,3) fused_sim=0.6333
